,text,emotion
0,"['please', 'tell', 'going', 'celebrity', 'big', 'brother', 'thursday']",0
1,"['may', 'exceeded', 'gay']",0
2,"['news', 'altright', 'believed', 'coined', 'guy', 'quoted', 'nazi', 'propaganda', 'c', 'saturday', 'htt']",-1
3,"['may', 'win', 'academy', 'award', 'uc', 'freaking', 'people', 'us', 'choice', 'dammit']",-1
4,"['reason', 'ut', 'lead', 'stat', 'wvu', 'skip', 'giving', 'st', 'let', 'score']",0
5,"['whos', 'ready', 'build', 'tomorrow', 'might', 'last', 'build', 'till', 'come', 'io']",1
6,"['im', 'pretty', 'sure', 'u', 'invented', 'rd', 'world', 'someone', 'actually', 'looked']",-1
7,"['image', 'iniesta', 'trained', 'rest', 'group', 'today', 'fcb']",0
8,"['saturday', 'kitchen', 'moment', 'chris', 'evans', 'ruin', 'chef', 'jason', 'athertons', 'wifes', 'birthday', 'treat', 'live']",-1
9,"['th', 'grade', 'art', 'teacher', 'iphone', 'stolen', 'classroom', 'someone', 'took', 'sim', 'card', 'track']",-1
10,"['update', 'diva', 'render', 'bellas', 'one', 'cmon', 'yall', 'remove', 'hulk', 'hogan', 'could', 'distract', 'u']",0
11,"['sorry', 'rubbish', 'posting', 'link', 'google', 'spikes', 'disease', 'border', 'terrier', 'come', 'st', 'sign', 'around']",-1
12,"['block', 'like', 'fresh', 'prince', 'bel', 'air', 'sang', 'need', 'argue', 'deplorables', 'understand']",-1
13,"['many', 'thanks', 'minecraft', 'ha', 'enriched', 'sons', 'life', 'may', 'find', 'happiness', 'fulfillment', 'success', 'future', 'endeavour']",1
14,"['depending', 'sensibility', 'uc', 'unofficially', 'may', 'seem', 'progressive', 'derivative', 'bad', 'lead', 'ut', 'supply', 'heat', 'needed']",-1
15,"['worried', 'alien', 'may', 'invade', 'earth', 'looking', 'george', 'osborne', 'tory', 'front', 'bench', 'look', 'like', 'ha', 'already', 'happened']",-1
16,"['watch', 'amazon', 'may', 'nnouncing', 'tablet', 'holiday']",1
17,"['medical', 'marijuana', 'industry', 'fact', 'wmnews', 'ep']",-1
18,"['hacker', 'already', 'defeated', 'window', 'uc', 'readwrite', 'mobile', 'ranked', 'th', 'interface', 'design', 'uc', 'behind', 'io', 'android']",-1
19,"['got', 'email', 'warning', 'u', 'pope', 'coming', 'two', 'week', 'next', 'email', 'said', 'bieber', 'coming', 'tomorrow', 'ack']",-1
20,"['apple', 'shakeup', 'mobile', 'software', 'bos', 'eased', 'apple', 'inc', 'ceo', 'tim', 'cook', 'monday', 'pushed', 'powerful', 'head', 'companys', 'mo']",0
21,"['may', 'wonderful', 'thing', 'peoples', 'taste', 'completely', 'different', 'bentley', 'offend', 'much', 'tbh']",0
22,"['animal', 'testing', 'grim', 'harvest', 'tourist', 'board', 'tell']",-1
23,"['jersey', 'stripe', 'line', 'photo', 'nd', 'one', 'ripoff', 'milans']",-1
24,"['kandi', 'factory', 'uc', 'um', 'liking', 'far']",1
25,"['face', 'nd', 'one', 'super', 'cute', 'love', 'liam', 'collared', 'shirt', 'niall', 'bust', 'short']",1
26,"['frank', 'giffords', 'passing', 'keith', 'jackson', 'lone', 'survivor', 'original', 'monday', 'night', 'football', 'telecaster']",0
27,"['boko', 'haram', 'militant', 'terrorist', 'say', 'leadership', 'conspiracy', 'theorist', 'get', 'work', 'want', 'tl', 'occupied', 'article', 'monday']",-1
28,"['country', 'obamas', 'bombed', 'illegal', 'drone', 'strike', 'obamas', 'fault', 'either', 'thats', 'great']",0
29,"['simons', 'one', 'enforced', 'change', 'see', 'alex', 'smithy', 'replace', 'ian', 'bennett', 'first', 'start', 'since', 'bournemouth', 'april']",0
30,"['christian', 'may', 'act', 'like', 'world', 'ignorant']",-1
31,"['group', 'dinner', 'soon', 'sat', 'started', 'saying', 'obama', 'dead', 'u', 'fuck', 'need', 'friend']",-1
32,"['leblanc', 'wa', 'nominated', 'emmy', 'golden', 'globe', 'uc', 'may', 'something']",0
33,"['tomorrow', 'must', 'ghost', 'ride', 'tha', 'whip', 'wit', 'lenny', 'kravitz', 'replay']",0
34,"['going', 'see', 'afternoon', 'mom', 'potter', 'fanatic', 'niece', 'wa', 'kinda', 'growing']",1
35,"['love', 'free', 'celebrate', 'fox', 'theatre', 'th', 'anniversary']",1
36,"['madonna', 'cry', 'argentina']",1
37,"['pic', 'sat', 'protest', 'planned', 'parenthood', 'brightondid', 'give', 'coverage']",-1
38,"['friday', 'us', 'main', 'day', 'knicks', 'v', 'heat']",1
39,"['donald', 'trump', 'lied', 'never', 'donald', 'trump', 'never', 'say', 'anything', 'without', 'seriously', 'meant', 'sarcasm', 'de']",-1
40,"['wa', 'like', 'th', 'th', 'th', 'grade', 'burning', 'cd', 'mixtapes', 'faithfully', 'consisted', 'dipset', 'old', 'bone', 'thug', 'hella', 'jayz']",1
41,"['iran', 'ready', 'deal', 'oil', 'iran', 'said', 'tuesday', 'provided', 'required', 'preparation', 'dea', 'article', 'iran']",0
42,"['finally', 'watching', 'love', 'happiness', 'country', 'going', 'miss', 'familys', 'class', 'wisdom', 'love', 'patience']",1
43,"['paper', 'finished', 'uc', 'cma', 'us', 'uc', 'blake', 'miranda', 'dominated', 'uc', 'accounting', 'hw', 'got', 'pushed', 'wednesday', 'going', 'bed', 'happy']",1
44,"['barca', 'may', 'point', 'real', 'madrid', 'play', 'better', 'football']",1
45,"['lpg', 'consumer', 'fill', 'kyc', 'form', 'till', 'nov', 'government', 'ha', 'extended', 'day', 'deadline', 'fill']",0
46,"['oh', 'lets', 'forget', 'getting', 'ps', 'theme', 'costume', 'dlc', 'wew', 'lad', 'persona', 'ha', 'become', 'far', 'much', 'money', 'sink']",0
47,"['good', 'thing', 'donnie', 'trumps', 'coming', 'take', 'bad', 'hombre']",1
48,"['sure', 'always', 'liberal', 'rightist', 'exploited', 'assail', 'left', 'whole', 'obscures', 'much']",-1
49,"['full', 'mean', 'book', 'life', 'everything', 'happened', 'w', 'last', 'year', 'wa', 'newsworthy']",-1
50,"['kim', 'fatty', 'kim', 'third', 'jong', 'un', 'get', 'new', 'mean', 'nickname', 'chinese', 'censor', 'block', 'fat', 'joke']",-1
51,"['going', 'jason', 'aldean', 'sept', 'th', 'hmu', 'need', 'ticket']",0
