,text,emotion
0,"['whats', 'date', 'bank', 'teller', 'th', 'oh', 'right', 'duh', 'beyonces', 'birthday', 'today', 'bank', 'teller']",1
1,"['opinion', 'sheriff', 'hammond', 'apologize', 'inflammatory', 'comment', 'islam']",-1
2,"['deron', 'put', 'punishment', 'becuz', 'said', 'may', 'sleep', 'time', 'may', 'head', 'rhons']",-1
3,"['lip', 'chapped', 'uc', 'ovary', 'hurt', 'uc', 'cannot', 'think', 'scary', 'movie', 'alan', 'rickman', 'thursday', 'suck']",-1
4,"['david', 'de', 'gea', 'girlfriend', 'disappointed', 'real', 'madrid', 'move', 'collapse', 'th', 'hour']",-1
5,"['delicious', 'warm', 'sun', 'great', 'see', 'briefly', 'hurricane', 'sandy', 'whipped', 'couple', 'hour', 'ago']",1
6,"['one', 'pop', 'musics', 'ugliest', 'feud', 'kicked', 'mtv', 'video', 'music', 'award', 'los', 'angeles', 'sunday', 'nicki']",-1
7,"['scream', 'zac', 'efron']",1
8,"['put', 'like', 'craigs', 'gf', 'friday', 'looked', 'ghetto', 'braid', 'janet', 'jackson', 'poetic', 'justice']",1
9,"['apple', 'ceo', 'apologizes', 'errorridden', 'new', 'map', 'app', 'video', 'apple', 'ceo', 'tim', 'cook', 'apologized', 'friday', 'company']",1
10,"['protest', 'trump', 'laterprotest', 'obama', 'nowdapl', 'funded', 'prolific', 'dem', 'donorsdapl', 'accelerate', 'climatechange']",-1
11,"['story', 'life']",1
12,"['sun', 'stupid', 'know', 'much', 'boy', 'mean', 'everyone', 'knew', 'hard', 'wa', 'u', 'zayn', 'left', 'disgusting']",-1
13,"['um', 'hawaii', 'moment', 'home', 'next', 'friday', 'night', 'ut', 'want', 'come', 'home']",-1
14,"['katy', 'perry', 'may', 'married', 'russell', 'brand', 'least', 'wig', 'made', 'straw', 'fuckin', 'jamoke']",-1
15,"['yes', 'hate', 'okocha', 'sunday', 'oliseh', 'super', 'eagle', 'coach', 'sunday', 'oliseh', 'ha', 'finally', 'laid', 'rest', 'rumour']",-1
16,"['reason', 'shdnt', 'discus', 'religion', 'may', 'make', 'u', 'hate', 'pak', 'made', 'u', 'hate', 'islam', 'bigger', 'sin']",-1
17,"['ball', 'email', 'today', 'announcing', 'clarkson', 'hammond', 'may', 'make', 'series', 'car', 'amazon', 'prime', 'knew']",1
18,"['dream', 'last', 'night', 'ej', 'started', 'sunday', 'viking', 'threw', 'yard', 'tds', 'man', 'dream', 'right']",1
19,"['wa', 'robbed', 'never', 'beat', 'rousey', 'nobody', 'interested', 'watching', 'lose', 'rd', 'time']",-1
