,Unnamed: 0,hashtags,text,emotion
27199,27199,[],"['headlining', 'festival', 'date', 'rammstein', 'uc', 'time', 'us', 'poland', 'us', 'impact', 'festival', 'take', 'place', 'th']",1.0
29535,29535,[],"['best', 'thing', 'walking', 'dead', 'returning', 'mean', 'spartacus', 'back', 'soon', 'dammit', 'uc', 'starz', 'site', 'say', 'january']",1.0
30596,30596,[],"['overtime', 'today', 'due', 'much', 'b', 'labor', 'day', 'chest', 'day', 'back', 'day', 'went', 'cant', 'wait', 'back', 'track', 'tomorrow']",1.0
20284,20284,[],"['wait', 'spring', 'breaker', 'coming', 'march', 'th', 'worldwide', 'release', 'date', 'u']",1.0
41563,41563,[],"['scott', 'walker', 'say', 'hell', 'move', 'repeal', 'obamacare', 'first', 'day', 'presidency', 'sun', 'time', 'national']",1.0
40020,40020,[],"['looking', 'forward', 'fun', 'weekend', 'mountain', 'enjoying', 'snow', 'california', 'great', 'friday']",1.0
11707,11707,"['iphone6S', 'iphone', 'apple', 'live', 'september']","['apples', 'september', 'special', 'event', 'tonight']",1.0
22193,22193,[],"['brock', 'lesnars', 'next', 'wwe', 'appearance', 'october', 'msg', 'live', 'event', 'opponent', 'tbc']",1.0
24006,24006,[],"['italian', 'trip', 'restored', 'faith', 'love', 'passion', 'fbpl', 'like', 'library', 'next', 'trip', 'sorted', 'next', 'milan', 'derbyjan']",1.0
15927,15927,[],"['ordered', 'gb', 'nexus', 'amazon', 'couple', 'day', 'ago', 'shipped', 'thursday']",1.0
18204,18204,[],"['buying', 'ticket', 'milan', 'tomorrow', 'swear', 'feel', 'like', 'im', 'going', 'war']",1.0
5919,5919,[],"['day', 'nothing', 'tomorrow', 'sam', 'smith', 'cancelled', 'show']",-1.0
37576,37576,[],"['rahul', 'dravid', 'hold', 'record', 'f', 'two', 'partnership', 'odis', 'st', 'saurav', 'ganguly', 'f', 'agnst', 'srilanka']",1.0
33735,33735,['WPop130815'],"['good', 'morning', 'start', 'thursday', 'naughty', 'boy', 'feat', 'sam', 'smith', 'la', 'la', 'la']",1.0
46102,46102,[],"['niall', 'actually', 'following', 'people', 'cant', 'follow', 'like', 'niall', 'cmon', 'stop', 'making', 'emo']",1.0
34962,34962,[],"['ur', 'solo', 'masturbation', 'scene', 'twilight', 'parody', 'wa', 'hot', 'watched', 'th', 'standard', 'college', 'memory']",1.0
30569,30569,[],"['looking', 'forward', 'going', 'colt', 'game', 'evening']",1.0
45001,45001,[],"['well', 'see', 'score', 'winner', 'man', 'utd', 'kane', 'january', 'enjoy', 'adebyor', 'x']",1.0
36637,36637,"['ColtsNation', 'NFL']","['colt', 'defense', 'dominate', 'bengal', 'likewise', 'offensively', 'excited', 'sunday']",1.0
13660,13660,[],"['based', 'rd', 'tee', 'shot', 'hope', 'dustin', 'johnson', 'winning', 'ha', 'gone', 'pull', 'hook', 'always', 'issue', 'wrist', 'position']",1.0
45904,45904,[],"['hi', 'greg', 'daughter', 'missed', 'call', 'friday', 'star', 'caller', 'vamp', 'devastated', 'chance', 'x']",-1.0
