,text,emotion
0,"['globalism', 'multiculturalism', 'political', 'correctness', 'fancy', 'name', 'communism']",-1
1,"['cant', 'believe', 'left', 'charger', 'tias', 'tomorrow', 'living', 'ipod', 'contact', 'via', 'twitter']",-1
2,"['sat', 'thinking', 'liam', 'louis', 'changing', 'world', 'whole', 'world']",1
3,"['respect', 'commitment', 'diversified', 'coverage', 'cnns', 'lack', 'reporting', 'dakota', 'access', 'pipeline', 'shameful']",-1
4,"['s', 'addictive']",-1
5,"['help', 'support', 'uber', 'maryland']",1
6,"['steve', 'bruce', 'overlook', 'returning', 'international', 'show', 'sign', 'fatigue', 'ahead', 'hull', 'citys', 'clash', 'arsenal', 'saturday']",1
7,"['wearing', 'iron', 'maiden', 'shirt', 'th', 'grade', 'anything', 'else', 'thats', 'clean', 'nice']",1
8,"['um', 'watch', 'today', 'uc', 'friday', 'going', 'tvd']",-1
9,"['took', 'ruling', 'withdrew', 'uprooted', 'jewish', 'community']",-1
10,"['interview', 'trump', 'sarah', 'palin', 'hurt', 'soul', 'may', 'lost', 'brain', 'cell']",-1
11,"['yoga', 'sun', 'hopefully', 'get', 'going', 'everyday', 'im', 'much', 'night', 'owl', 'shit']",-1
12,"['playing', 'minuteman', 'bob', 'dylan', 'wrote', 'propaganda', 'song', 'make', 'man', 'start', 'fire']",1
13,"['thank', 'mr', 'bnetanyahu', 'may', 'lord', 'bless', 'family', 'israel', 'god', 'lands', 'chosen']",1
14,"['olympics', 'david', 'owen', 'british', 'olympic', 'sport', 'may', 'miss', 'man', 'made', 'bl']",-1
15,"['revealed', 'arsenals', 'injured', 'xi', 'four', 'player', 'still', 'squad', 'via']",1
16,"['espanyol', 'keep', 'struggeling', 'th', 'la', 'liga', 'losing', 'copa', 'del', 'rey', 'sevilla', 'de', 'last', 'ten', 'minute', 'u', 'u']",-1
17,"['w', 'assalaam', 'wa', 'st', 'eid', 'away', 'family', 'hope', 'nice', 'eid', 'family', 'good', 'happy', 'eid', 'thanks']",1
18,"['jeb', 'bush', 'utter', 'failure', 'drop', 'th', 'place']",-1
19,"['make', 'sure', 'song', 'uc', 'uc', 'rella', 'uc', 'oldie', 'tron', 'cat', 'tomorrow', 'baby']",1
