,text,emotion
0,"['well', 'steve', 'bannon', 'help']",-1
1,"['apart', 'saudi', 'arabia', 'one', 'country', 'ha', 'blamed', 'st', 'islamic', 'state', 'world', 'pakistan']",-1
2,"['dustin', 'johnson', 'partnered', 'danny', 'willett', 'final', 'group', 'delayed', 'third', 'round', 'open', 'championship', 'sunday']",1
3,"['sharknado', 'definitely', 'best', 'worst', 'come', 'see', 'spectacle', 'thursday', 'pm', 'rh', 'theatre']",-1
4,"['samajwadi', 'partys', 'parliamentary', 'board', 'meet', 'tomorrow', 'decide', 'future', 'course', 'action', 'next', 'meeting', 'decided', 'yet']",-1
5,"['lebron', 'pay', 'world', 'series', 'bet', 'cub', 'uni']",1
6,"['fight', 'confirm', 'donald', 'trumps', 'supreme', 'court', 'nominee', 'start']",1
7,"['wake', 'world', 'putin', 'child', 'killer']",-1
8,"['miley', 'nicki', 'staged', 'nm', 'break', 'smile', 'nd', 'cangle', 'miley', 'say', 'nicki', 'state', 'topic']",1
9,"['jeez', 'offends', 'cuz', 'hypocrite', 'give', 'real', 'christian', 'bad', 'name', 'st', 'amendment', 'st', 'reason']",-1
10,"['oblivious', 'fact', 'trumps', 'electoral', 'college', 'win', 'wa', 'flimsy', 'compared', 'hrc', 'winning', 'popular', 'vote', 'nearly', 'million', 'vote']",-1
11,"['distribution', 'large', 'enough', 'ira', 'owner', 'may', 'pay', 'penalty', 'amount', 'distributed']",-1
12,"['congressman', 'dennis', 'kucinich', 'dohio', 'lost', 'recent', 'ohio', 'primary', 'election', 'march', 'th', 'due']",-1
13,"['remember', 'rolling', 'stone', 'rape', 'hoax', 'false', 'victim', 'wa', 'introduced', 'obama', 'white', 'house', 'task', 'force', 'member']",-1
14,"['tomorrow', 'october', 'five', 'year', 'ago', 'october', 'first', 'wizard', 'waverly', 'place', 'episode', 'ever', 'premiered', 'disney', 'channel']",1
15,"['people', 'wholeheartedly', 'believing', 'satire', 'sarah', 'palin', 'got', 'reputation', 'ha', 'st', 'place']",-1
16,"['plan', 'eating', 'tomorrow', 'deep', 'fried', 'koolaid', 'uc', 'deep', 'fried', 'derby', 'pie', 'uc', 'deep', 'fried', 'girl', 'scout', 'thin', 'mint', 'uc', 'etc']",1
17,"['road', 'erdogans', 'new', 'sultanate', 'paved', 'blood']",-1
18,"['bought', 'note', 'obviously', 'return', 'using', 'lg', 'v', 'galaxy', 'plus', 'next', 'note', 'version']",-1
19,"['scarred', 'riverbed', 'dead', 'pistachio', 'tree', 'parched', 'iran', 'year', 'may', 'render', 'nation', 'inhabitable']",-1
20,"['good', 'field', 'parisnice', 'first', 'sportive', 'season', 'tomorrow', 'good', 'weekend', 'bike']",1
21,"['agree', 'rahul', 'gandhi', 'may', 'say', 'wisest', 'thing', 'public', 'lets', 'forget', 'medium', 'portrays']",1
22,"['planned', 'parenthood', 'admits', 'manipulates', 'rule', 'fetal', 'organ', 'sale', 'maximize', 'profit', 'washington', 'time']",-1
23,"['last', 'years', 'success', 'todays', 'expectation', 'cristiano', 'ronaldo']",1
24,"['wheres', 'moto', 'g', 'rd', 'gen', 'initial', 'review', 'soup', 'test', 'video']",1
25,"['apparently', 'girl', 'hooked', 'niall', 'gave', 'th', 'row', 'ticket', 'smh', 'cheap', 'bitch', 'front', 'row', 'ticket']",-1
26,"['supreme', 'court', 'gay', 'marriage', 'kentucky', 'clerk', 'jailed', 'rule', 'lawlessness', 'today', 'clerk', 'kentucky', 'tomorrow', 'rest', 'u']",-1
27,"['pic', 'melanias', 'career', 'trump', 'portrait', 'think', 'bought', 'money']",-1
28,"['download', 'wkend', 'coz', 'runrig', 'playing', 'inverness', 'game', 'tomorrow', 'dance', 'called', 'america', 'live', 'runrig']",1
29,"['ha', 'david', 'blaine', 'like', 'david', 'plain']",-1
30,"['shit', 'tasha', 'may', 'think', 'ghost', 'kill', 'shawn', 'tell', 'shawn', 'try', 'kill', 'tell', 'get', 'town']",-1
31,"['start', 'school', 'tomorrow', 'almost', 'midnight', 'im', 'still', 'watching', 'netflix']",1
32,"['naruto', 'sun', 'alright']",1
33,"['putin', 'wanted', 'intervene', 'would', 'donate', 'clinton', 'foundation', 'hack', 'computer']",-1
34,"['scary', 'stuff', 'ppl', 'worse', 'yet', 'theres', 'intel', 'evdnce', 'dt', 'still', 'maintains', 'proputin', 'stance', 'exemplary', 'dmocrcy']",-1
