,text,emotion
0,"['look', 'country', 'ure', 'playing', 'uc', 'th', 'seed', 'also', 'ure', 'missing', 'ched', 'evans', 'uc', 'bellamy', 'uc', 'ramsey', 'uc', 'collins', 'etc', 'etc']",-1
1,"['tomorrow', 'last', 'day', 'waking', 'morning', 'work', 'dunkin', 'happier']",1
2,"['want', 'dunkin', 'tomorrow', 'morning', 'lol']",1
3,"['id', 'rather', 'listen', 'st', 'grand', 'funk', 'railroad', 'record', 'nirvana', 'record']",-1
4,"['im', 'buying', 'tomorrow', 'along', 'new', 'iron', 'maiden']",1
5,"['see', 'us', 'ull', 'blame', 'case', 'monday', 'creighton', 'picked', 'win', 'wbb', 'uc', 'siu', 'picked', 'finish', 'th', 'ahead', 'drake', 'uc', 'ue']",-1
6,"['yes', 'thank', 'janine', 'saw', 'kelsey', 'grammer', 'wed', 'night', 'sag', 'ut', 'talk', 'politics', 'let', 'us', 'take', 'hollywood', 'back']",1
7,"['yes', 'always', 'wanted', 'know', 'meaning', 'seth', 'rollins', 'tattoo']",1
8,"['rubbish', 'kill', 'innocent', 'going', 'hell', 'simple', 'nd', 'highest', 'population', 'jew', 'live', 'iran', 'isreal']",-1
9,"['msa', 'poopoo', 'kind', 'day', 'experiencing', 'trouble', 'site', 'apologize', 'may']",-1
10,"['right', 'identify', 'variety', 'intention', 'variety', 'intention', 'may', 'still', 'fully', 'compatible', 'christian']",1
11,"['security', 'en', 'must', 'handled', 'civilian', 'army']",1
12,"['business', 'leader', 'us', 'award', 'ceremony', 'held', 'annual', 'meeting', 'davos', 'january']",1
13,"['dems', 'take', 'blinder', 'abt', 'obama', 'let', 'state', 'brutalize', 'evict', 'first', 'american', 'dem', 'donor']",-1
14,"['sam', 'smith', 'may', 'fan', 'certainly', 'type', 'people', 'would', 'watch', 'bond', 'hell', 'done']",-1
15,"['klitschko', 'big', 'hit', 'ukrainian', 'voter', 'kiev', 'afp', 'ukraine', 'prepared', 'saturday']",1
16,['tpp'],-1
17,"['confusion', 'francis', 'first', 'merciful', 'pope']",1
18,"['ethnic', 'cleansing', 'morally', 'wrong', 'illegal', 'matter', 'perpetrating']",-1
19,"['im', 'sick', 'bear', 'fan', 'slander', 'packer', 'slander', 'packer', 'weve', 'bitch', 'decade', 'man', 'cmon']",-1
20,"['s', 'win', 'cannot', 'hide', 'problem', 'summer', 'recruit']",-1
21,"['irritates', 'gay', 'male', 'allowed', 'donate', 'blood', 'transgender', 'woman', 'anyone', 'else', 'may', 'sex', 'gay', 'bi', 'man']",-1
22,"['dutch', 'uncle', 'obviously', 'ucrept', 'u', 'u', 'realise', 'udutch', 'uncle', 'u', 'lp', 'tapete', 'pre', 'dated', 'cadenza', 'rd']",1
23,"['mean', 'time', 'uc', 'check', 'soundcloud', 'mix', 'dj', 'im', 'seeing', 'day', 'party', 'saturday', 'uc', 'uc', 'amsterdam', 'livin']",1
24,"['conservative', 'liberal', 'alike', 'hate', 'science', 'yall', 'really', 'yall', 'believe', 'homeopathy', 'chiropractic', 'vaccine']",-1
25,"['liked', 'video', 'google', 'earth', 'vr', 'gameplay', 'world', 'gennyb', 'lets']",1
26,"['today', 'get', 'much', 'better', 'pinterest', 'recipe', 'worked', 'perfect', 'sunday']",-1
27,"['im', 'work', 'hour', 'tomorrow', 'lmao', 'someone', 'make', 'go', 'bed', 'stop', 'reading', 'article', 'nicki']",1
28,"['busted', 'caught', 'celebrating', 'st', 'ua', 'cup', 'win', 'andy', 'carroll', 'joe', 'hart']",1
29,"['year', 'milln', 'remain', 'care', 'peaceful', 'productive', 'give', 'home', 'back']",1
30,"['visited', 'harry', 'potter', 'studio', 'watford', 'friday', 'bumped', 'business', 'contact', 'small', 'world', 'wa', 'magic']",1
31,"['may', 'right', 'wa', 'innocentif', 'levinson', 'stupid', 'enough', 'spy', 'iran', 'cigarette', 'smuggling', 'guy', 'retard']",-1
32,"['thats', 'obamas', 'personal', 'record', 'sealed', 'executive', 'order', 'guilty', 'party', 'take', 'th']",-1
33,"['ffs', 'hes', 'probably', 'sat', 'cry', 'real', 'madrid', 'shirt', 'samba', 'back', 'asking', 'went', 'wrong']",-1
34,"['car', 'return', 'eldora', 'speedway', 'friday', 'saturday', 'king', 'royal', 'weekend', 'come']",1
35,"['dead', 'american', 'apparently', 'lesser', 'tragedy', 'death', 'trayvon', 'martin', 'may', 'rip']",-1
36,"['fuck', 'uc', 'band', 'covered', 'friday', 'night', 'uc', 'fuck', 'ricky', 'martin', 'existing', 'first', 'place', 'big', 'jerk']",-1
37,"['well', 'make', 'sure', 'good', 'gucci', 'may', 'one']",1
38,"['people', 'clutching', 'pearl', 'leftist', 'hoping', 'steven', 'woolfes', 'death']",-1
39,"['retweeted', 's', 'audition', 'banned', 'white']",-1
40,"['like', 'rugby', 'iron', 'maiden', 'ale', 'course', 'rodney', 'parade', 'beer', 'festival', 'weekend', 'start', 'fri', 'pm']",1
41,"['narutos', 'son', 'ha', 'alot', 'live', 'hes', 'son', 'th', 'hokage', 'grandson', 'th', 'hokage']",1
42,"['josh', 'hamilton', 'rejoined', 'ranger', 'n', 'effort', 'overcome', 'struggle', 'w', 'addiction', 'angel', 'fan', 'booed', 'st', 'game', 'back']",-1
43,"['cop', 'closing', 'guy', 'robbed', 'chris', 'browns', 'home', 'july', 'appears', 'gang', 'affiliation']",1
44,"['seeing', 'everyones', 'post', 'mid', 'state', 'fair', 'getting', 'jason', 'aldean', 'making', 'excited', 'tomorrow']",1
45,"['george', 'osborne', 'demagogue', 'man', 'give', 'control', 'security', 'uk', 'foreign', 'power']",-1
46,"['obamacare', 'mother', 'wa', 'able', 'health', 'insurance', 'first', 'time', 'year']",-1
47,"['idiocracy', 'may', 'actually', 'happen', 'kanye', 'west', 'going', 'president']",-1
48,"['friend', 'work', 'fake', 'putin', 'oppo', 'kremlins', 'org', 'chalu']",-1
49,"['th', 'augustthe', 'anthem', 'still', 'choke', 'upthe', 'flag', 'still', 'make', 'proudgandhi', 'still', 'look', 'ushappy', 'independence', 'day', 'india']",1
50,"['since', 'acquiring', 'david', 'price', 'july', 'blue', 'jay', 'scored', 'run', 'exactly', 'per', 'game']",1
51,"['good', 'thursday', 'morning', 'glad', 'see', 'yall', 'survived', 'sharknado', 'outbreak', 'le', 'intact']",1
52,"['seems', 'even', 'nobel', 'prize', 'sale', 'amartya', 'sen', 'bob', 'dylan']",-1
53,"['dunkin', 'j', 'c', 'tomorrow']",1
54,"['fidel', 'castro', 'ha', 'died', 'maduro', 'ever']",-1
55,"['made', 'appearance', 'adam', 'id', 'call', 'god', 'ha', 'much', 'material']",1
56,"['fm', 'preview', 'west', 'ham', 'united', 'v', 'hull', 'city', 'apr', 'footymad', 'attempt', 'assist', 'form', 'guide', 'wes']",1
57,"['one', 'week', 'panto', 'rehearsal', 'begin', 'excited']",1
58,"['donald', 'duck', 'mean', 'say', 'president', 'hes', 'hippocritehe', 'believe', 'jesus', 'hes', 'perpetratorwise', 'electoral', 'college']",-1
59,"['disgrace', 'game', 'came', 'japan', 'th', 'march', 'smh', 'naruto', 'game', 'come', 'within', 'week', 'worldwide']",-1
60,"['oh', 'well', 'time', 'always', 'catch']",1
61,"['monday', 'final', 'rating', 'voice', 'dancing', 'star', 'adjusted', 'big', 'bang', 'theory', 'castle', 'adj']",1
