,text,emotion
0,"['what', 'is', 'jamie', 'foxx', 'doing', 'sitting', 'next', 'to', 'niall', 'like', 'you', ""could've"", 'sat', 'in', 'a', 'better', 'spot', 'just', 'saying', 'lol']",1
1,"['only', 'looking', 'forward', 'to', ""kanye's"", 'performance', 'at', 'the', ""vma's"", 'tomorrow', '!', 'heard', ""he's"", 'bringing', 'out', 'rih', ',', 'bey', ',', 'jay-z', '&', 'paul', 'mccarthy']",1
2,"['i', 'hated', 'tata', 'martino', 'in', 'barca', 'and', 'i', ""can't"", 'stand', 'him', 'coaching', 'argentina', '!', 'even', 'though', ""it's"", 'a', 'friendly', 'no', 'reason', 'to', 'play', '5', 'defender', 'in', '1st', '45']",-1
3,"['embarrassing', '.', 'ram', 'cut', 'alexander', '.', 'yes', 'i', 'know', 'he', '\\', 'u2019s', 'from', 'mizzou', '.', 'but', 'c', '\\', 'u2019mon', '.', 'chief', 'd', 'make', 'unknown', 'look', 'like', 'pro', 'bowler', '.']",-1
4,"['@user', 'feel', 'so', 'much', 'better', 'knowing', 'thor', 'will', 'be', 'in', 'the', 'house', 'sunday', '.']",1
5,"['i', 'wanna', 'see', 'some', 'meme', 'with', 'donald', 'trump', 'and', 'mike', 'pence.donald', ':', 'youre', 'doin', 'such', 'a', 'brilliant', 'job', 'cmon', 'lemme', 'give', 'ya', 'a', 'kissmike', ':', 'haha', 'no', '...']",1
6,"['this', 'lady', 'on', 'sunday', 'morning', 'live', 'is', 'an', 'absolute', 'idiot', '.', 'negotiating', 'with', 'daesh', ""isn't"", 'possible', ',', 'nothing', 'like', 'the', 'ira']",-1
7,"['@user', 'harper', 'the', 'cpc', 'are', 'going', 'to', 'become', 'a', '3rd', 'place', 'party', 'because', 'of', 'your', 'reckless', 'leadership', '#stopharper', '#cdnpoli', '#elxn42']",-1
8,"['damn', 'it', 'nyc', 'mta', 'sign', 'where', 'were', 'you', 'saturday', 'night', '?']",-1
9,"['@user', '#venezuelan', '😷', 'president', 'nicolas', 'maduro', 'called', 'cuban', 'raul', ',', 'express', 'solidarity', 'with', 'cuban', 'ppl', 'following', 'death', 'of', '#fidelcastro', '.']",-1
10,"['ok', ',', 'caribou', 'playing', ""can't"", 'do', 'without', 'you', 'made', 'me', 'dance', 'so', 'hard', 'i', 'may', 'have', 'cried', ',', 'so', 'i', 'get', 'it', 'sam', 'smith', 'girl', '.']",1
