,Unnamed: 0,hashtags,text,emotion
34118,34118,['GOPDebate'],"['thursday', 'nights', 'wa', 'highestrated', 'primary', 'debate', 'tv', 'history', 'must', 'john', 'kasich', 'sex', 'appeal']",1.0
1513,1513,['Steelers'],"['thursday', 'night', 'cant', 'come', 'early', 'enough', 'tom', 'brady', 'versus', 'awesome', 'secondary', 'haha']",1.0
32774,32774,[],"['creighton', 'volleyball', 'lead', 'early', 'nd', 'set', 'match', 'becomes', 'even', 'bigger', 'wichita', 'st', 'missouri', 'state', 'home', 'tonight']",1.0
32803,32803,['ManCrushMonday'],"['happy', 'monday', 'hoping', 'help', 'shake', 'monday', 'blue', 'sexy', 'chris', 'evans']",1.0
21160,21160,[],"['come', 'visit', 'curtis', 'girl', 'beautiful', 'tuesday', 'grab', 'patio', 'seat', 'one', 'last', 'time', 'sit']",1.0
27491,27491,[],"['gov', 'bobby', 'jindal', 'st', 'nominate', 'leader', 'talk', 'one', 'voice', 'view', 'sorry', 'leadership', 'gop']",1.0
38127,38127,[],"['might', 'well', 'get', 'djokovic', 'v', 'federer', 'final', 'sunday', 'going', 'even', 'murray', 'wa', 'still', 'field', 'seems', 'destined']",1.0
325,325,['sxsw'],"['google', 'launch', 'major', 'new', 'social', 'network', 'called', 'circle', 'brazils', 'orkut', 'user', 'waiting']",1.0
21417,21417,[],"['kingsley', 'coman', 'played', 'psg', 'juventus', 'bayern', 'time', 'may', 'made', 'international', 'debut', 'feat']",1.0
14424,14424,[],"['good', 'morning', 'nd', 'day', 'two', 'day', 'work', 'week', 'travel', 'tomorrow', 'apple', 'event', 'day', 'yay']",1.0
30707,30707,[],"['shaquille', 'uneal', 'allstar', 'comedy', 'jam', 'dar', 'constitution', 'hall', 'sat', 'p', 'nov', 'uc', 'washington', 'dc', 'look', 'like', 'great', 'show']",1.0
13017,13017,[],"['february', 'th', 'desperation', 'day', 'magical', 'night', 'uc', 'ten', 'ha', 'selfesteem', 'four', 'depraved', 'enthusiasm', 'two', 'bd']",1.0
20517,20517,[],"['rom', 'stun', 'juve', 'chievo', 'crush', 'lazio', 'milan', 'afp', 'juventuss', 'early', 'season', 'woe', 'continued', 'sunday']",1.0
18674,18674,[],"['delhi', 'police', 'say', 'report', 'sunanda', 'pushkars', 'death', 'inconclusive', 'delhi', 'police', 'said', 'friday', 'forensic', 'evi']",1.0
6898,6898,[],"['david', 'cameron', 'like', 'god', 'guide', 'syrian', 'refugeesgod', 'may', 'blees', 'people', 'like', 'david', 'cameron']",1.0
34813,34813,['wareagle'],"['time', 'year', 'plain', 'smell', 'saturday', 'morning', 'tailgate', 'auburn', 'football', 'season']",1.0
24873,24873,[],"['early', 'wee', 'early', 'morning', 'walk', 'sun', 'ireland']",1.0
20011,20011,[],"['yes', 'true', 'ive', 'missed', 'child', 'go', 'set', 'watchman', 'get', 'released', 'tuesday']",1.0
10737,10737,[],"['new', 'post', 'blog', 'hope', 'see', 'saturday', 'cesena', 'fam']",1.0
6909,6909,[],"['hi', 'sunday', 'interview', 'said', 'islam', 'mean', 'submition', 'god', 'quite', 'rightsubmition', 'allahs']",1.0
