0,".@wesley83 I have a 3G iPhone. After 3 hrs tweeting at #RISE_Austin, it was dead!  I need to upgrade. Plugin stations at #SXSW.",-1,"['rise_austin', 'sxsw']",[],False,"['g', 'iphone', 'hr', 'tweeting', 'wa', 'dead', 'need', 'upgrade', 'plugin', 'station']"
1,"@jessedee Know about @fludapp ? Awesome iPad/iPhone app that you'll likely appreciate for its design. Also, they're giving free Ts at #SXSW",1,['sxsw'],[],False,"['know', 'awesome', 'ipad', 'iphone', 'app', 'youll', 'likely', 'appreciate', 'design', 'also', 'theyre', 'giving', 'free']"
2,@swonderlin Can not wait for #iPad 2 also. They should sale them down at #SXSW.,1,"['ipad', 'sxsw']",[],False,"['wait', 'also', 'sale']"
3,@sxsw I hope this year's festival isn't as crashy as this year's iPhone app. #sxsw,-1,['sxsw'],[],False,"['hope', 'years', 'festival', 'isnt', 'crashy', 'years', 'iphone', 'app']"
4,"@sxtxstate great stuff on Fri #SXSW: Marissa Mayer (Google), Tim O'Reilly (tech books/conferences) &amp; Matt Mullenweg (Wordpress)",1,['sxsw'],[],False,"['great', 'stuff', 'fri', 'marissa', 'mayer', 'google', 'tim', 'oreilly', 'tech', 'book', 'conference', 'matt', 'mullenweg', 'wordpress']"
5,@teachntech00 New iPad Apps For #SpeechTherapy And Communication Are Showcased At The #SXSW Conference http://ht.ly/49n4M #iear #edchat #asd,0,"['speech', 'therapy', 'sxsw', 'iear', 'edchat']",[],False,"['new', 'ipad', 'apps', 'communication', 'showcased', 'conference']"
6,"#SXSW is just starting, #CTIA is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan",1,"['sxsw', 'ctia', 'googleio', 'android']",[],False,"['starting', 'around', 'corner', 'hop', 'skip', 'jump', 'good', 'time', 'fan']"
7,Beautifully smart and simple idea RT @madebymany @thenextweb wrote about our #hollergram iPad app for #sxsw! http://bit.ly/ieaVOB,1,"['holler', 'gram', 'sxsw']",[],False,"['beautifully', 'smart', 'simple', 'idea']"
8,Counting down the days to #sxsw plus strong Canadian dollar means stock up on Apple gear,1,['sxsw'],[],False,"['counting', 'day', 'plus', 'strong', 'canadian', 'dollar', 'mean', 'stock', 'apple', 'gear']"
9,Excited to meet the @samsungmobileus at #sxsw so I can show them my Sprint Galaxy S still running Android 2.1.   #fail,1,"['sxsw', 'fail']",[],False,"['excited', 'meet', 'show', 'sprint', 'galaxy', 'still', 'running', 'android']"
10,Find &amp; Start Impromptu Parties at #SXSW With @HurricaneParty http://bit.ly/gVLrIn I can't wait til the Android app comes out.,1,['sxsw'],[],False,"['find', 'start', 'impromptu', 'party', 'cant', 'wait', 'til', 'android', 'app', 'come']"
11,"Foursquare ups the game, just in time for #SXSW http://j.mp/grN7pK) - Still prefer @Gowalla by far, best looking Android app to date.",1,['sxsw'],[],False,"['foursquare', 'ups', 'game', 'time', 'still', 'prefer', 'far', 'best', 'looking', 'android', 'app', 'date']"
12,Gotta love this #SXSW Google Calendar featuring top parties/ show cases to check out.  RT @hamsandwich via @ischafer =&gt;http://bit.ly/aXZwxB,1,['sxsw'],[],False,"['gotta', 'love', 'google', 'calendar', 'featuring', 'top', 'party', 'show', 'case', 'check']"
13,Great #sxsw ipad app from @madebymany: http://tinyurl.com/4nqv92l,1,['sxsw'],[],False,"['great', 'ipad', 'app']"
14,"haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw",1,"['holler', 'gram', 'sxsw']",[],False,"['haha', 'awesomely', 'rad', 'ipad', 'app']"
15,Holler Gram for iPad on the iTunes App Store -  http://t.co/kfN3f5Q (via @marc_is_ken) #sxsw,0,['sxsw'],[],False,"['holler', 'gram', 'ipad', 'itunes', 'app', 'store', 'via']"
16,I just noticed DST is coming this weekend. How many iPhone users will be an hour late at SXSW come Sunday morning? #SXSW #iPhone,-1,"['sxsw', 'iphone']",[],False,"['noticed', 'dst', 'coming', 'weekend', 'many', 'iphone', 'user', 'hour', 'late', 'sxsw', 'come', 'sunday', 'morning']"
17,"Just added my #SXSW flights to @planely. Matching people on planes/airports. Also downloaded the @KLM iPhone app, nicely done.",1,['sxsw'],[],False,"['added', 'flight', 'matching', 'people', 'plane', 'airport', 'also', 'downloaded', 'iphone', 'app', 'nicely', 'done']"
