,text,emotion,hashtags
0,"['president', 'cv', 'ready', 'know', 'position', 'fill', 'ready']",1,"['trump', 'transition', 'trump', 'transition', 'team']"
1,"['wanna', 'see', 'meme', 'donald', 'trump', 'mike', 'pencedonald', 'youre', 'doin', 'brilliant', 'job', 'cmon', 'lemme', 'give', 'ya', 'kissmike', 'haha']",1,[]
2,"['carly', 'fiorina', 'fight', 'back', 'hp', 'layoff', 'claim', 'say', 'doubled', 'size', 'company', 'via']",1,[]
3,"['scripture', 'islamic', 'text', 'suggests', 'allah', 'islam', 'may', 'satan', 'compared', 'bible', 'though', 'purely', 'hypothetical']",-1,[]
4,"['tonights', 'yougov', 'lab', 'con', 'ukip', 'libdem', 'green', 'one', 'suns', 'front', 'page', 'nick', 'robinson', 'analysis', 'think']",-1,[]
5,"['need', 'get', 'skinny', 'uc', 'move', 'find', 'someone', 'lush', 'ull', 'start', 'diet', 'tomorrow', 'rest', 'ull', 'try', 'sort', 'another', 'time']",1,[]
6,"['david', 'wright', 'line', 'drive', 'single', 'nd', 'bat', 'tonight', 'would', 'come', 'around', 'score', 'rbi', 'single', 'amed', 'rosario']",1,[]
7,"['keep', 'thinking', 'tuesday', 'get', 'excited', 'styled', 'rock', 'realise', 'monday', 'wait', 'till', 'tomorrow']",-1,[]
8,"['state', 'would', 'implement', 'mandatory', 'death', 'penalty', 'killing', 'police', 'officer']",-1,[]
9,['created'],1,"['succeed', 'dominating', 'your', 'mind', 'dym', 'nb', 'awards']"
10,"['sangam', 'university', 'bhilwara', 'salute', 'nobel', 'laureate', 'united', 'nation', 'international', 'day', 'girl', 'child', 'oct']",1,[]
11,"['take', 'reporter', 'spectacularly', 'philip', 'bump', 'former', 'thug', 'activist']",-1,[]
12,"['im', 'going', 'see', 'long', 'go', 'without', 'getting', 'caught', 'wearing', 'nike', 'short', 'tomorrow']",-1,[]
13,"['remembrance', 'sunday', 'primary', 'thought', 'day', 'ira', 'tried', 'murder', 'member', 'family', 'daring', 'remember']",-1,[]
14,"['idgaf', 'girl', 'team', 'playing', 'tomorrow', 'um', 'riding', 'even', 'play', 'baylor']",1,[]
15,"['best', 'segment', 'wa', 'bit', 'immigration', 'near', 'end', 'thought', 'fairly', 'poorly', 'throughout', 'first', 'minute']",-1,[]
16,"['sky', 'continue', 'emphasise', 'real', 'madrid', 'side', 'degea', 'issue', 'joined', 'man', 'utd', 'hater', 'sun']",-1,[]
