,text,emotion
0,"['came', 'nd', 'tayside', 'fife', 'championship']",1
1,"['lol', 'im', 'supposed', 'going', 'milan', 'tonight', 'girl', 'tomorrow', 'night']",1
2,"['dylan', 'dark', 'yetthisll', 'keep', 'oneself', 'loving', 'life']",1
3,"['sharknado', 'tonight', 'ohmygod', 'excited', 'even', 'though', 'cant', 'watch', 'til', 'saturday']",1
4,"['going', 'knicks', 'v', 'heat', 'game', 'tomorrow', 'last', 'time', 'went', 'basketball', 'game', 'wa', 'wa']",1
5,"['ive', 'problem', 'game', 'google', 'earth', 'really', 'messed', 'vr', 'lot', 'fun', 'still', 'tho']",1
6,"['stratasys', 'ha', 'added']",1
7,"['amazon', 'prime', 'day', 'bust', 'wa', 'going', 'replace', 'black', 'friday', 'feel', 'justified', 'sleeping', 'sale']",-1
8,"['saw', 'antman', 'friday', 'night', 'peeked', 'showing', 'soc', 'see', 'response', 'packed', 'showing', 'racial', 'mix']",1
9,"['happy', 'thanksgiving', 'family', 'prayer', 'mike', 'penny']",1
10,"['daniel', 'goodhumored', 'comedy', 'show', 'indiana', 'gov', 'mitch', 'daniel', 'wa', 'good', 'sport', 'thursday', 'appeared']",1
11,"['mtv', 'ha', 'hid', 'result', 'voting', 'hour', 'tweet', 'gaga', 'lady', 'gaga', 'cmon', 'monster']",1
12,"['see', 'paley', 'tomorrow']",1
13,"['im', 'going', 'school', 'tomorrow', 'nicki', 'z']",1
14,"['inspired', 'ironman', 'wale', 'give', 'triathlon', 'go', 'taking', 'part', 'fishguard', 'go', 'tri', 'sunday']",1
15,"['good', 'win', 'end', 'nd', 'team', 'amoo', 'uc', 'wright', 'procter', 'best', 'player']",1
16,"['lmao', 'antonio', 'carluccio', 'gennaro', 'contaldo', 'wanting', 'chocolate', 'mousse', 'cake', 'saturday', 'kitchen', 'haha', 'really', 'want']",1
17,"['recep', 'tayyip', 'erdogans', 'gamble', 'may', 'solve', 'turkey', 'poll', 'impasse', 'le', 'five', 'month', 'last', 'legislat']",-1
18,"['nhl', 'st', 'overall', 'pick', 'pitching', 'white', 'sox', 'today']",1
19,"['deserve', 'sir']",1
20,"['tonight', 'prime', 'minister', 'intends', 'le', 'pen', 'welcomed', 'result', 'co']",1
21,"['one', 'jump', 'ahead', 'canteen', 'seriously', 'need', 'watch', 'aladdin', 'tonight']",1
22,"['sat', 'nearly', 'am', 'david', 'bowie', 'repeat', 'need', 'food']",1
23,"['one', 'friday', 'rasoolullah', 'peace', 'upon', 'said', 'muslim', 'allah', 'taaala', 'ha', 'made', 'day', 'day', 'eid']",1
24,"['love', 'meisha', 'tate', 'rousey', 'fan', 'really', 'cant', 'see', 'sense', 'rd', 'fight', 'gonna', 'take', 'man', 'beat', 'ronda', 'time', 'soon']",1
25,"['friend', 'please', 'take', 'online', 'pledge', 'swachh', 'bharat', 'cleaner', 'better', 'tomorrow', 'help', 'others']",1
26,"['night', 'dream', 'uga', 'beat', 'boise', 'state', 'lets', 'hope', 'come', 'true']",1
27,"['trump', 'protest']",1
28,"['read', 'todays', 'daily', 'dispatch', 'thanks']",1
29,"['sweet', 'keep', 'updated', 'im', 'getting', 'ready', 'big', 'jiujitsu', 'promotion', 'end', 'feb']",1
30,"['planned', 'parenthood', 'subject', 'nationwide', 'protest', 'saturday', 'christian', 'ever', 'protest', 'time']",1
31,"['founder', 'never', 'intended', 'u', 'professional', 'political', 'class', 'carly', 'fiorina', 'may', 'see', 'many', 'new', 'follower']",1
32,"['guess', 'ps', 'may', 'medium', 'player', 'transfer', 'song', 'share', 'factory', 'using', 'usb', 'drive']",1
33,"['decent', 'outing', 'canada', 'rd', 'highest', 'ranked', 'team', 'world', 'undone', 'bit', 'brilliance', 'james', 'rodriguez']",1
34,"['pls', 'cnn', 'world', 'u', 'bring', 'idiot', 'sarah', 'palin', 'sunday', 'great', 'news', 'program', 'state', 'union', 'cnn', 'u', 'really', 'fuck', 'sunday']",-1
35,"['boko', 'haram', 'leader', 'shekau', 'say', 'alive', 'may', 'lieing']",1
36,"['israel', 'killed', 'mastermind', 'honed', 'war']",-1
37,"['westword', 'writer', 'cowriting', 'last', 'u', 'part', 'im', 'totally', 'okay']",1
38,"['step', 'sun', 'sky', 'radiate', 'lift', 'carry', 'love', 'know', 'lady', 'gaga']",1
39,"['hell', 'happened', 'organization', 'used', 'unequaled', 'reputation', 'sad', 'time', 'fire', 'dir', 'comey']",-1
40,"['happy', 'capitol', 'one', 'cup', 'result', 'coming', 'beat', 'chelsea', 'tomorrow', 'might', 'aswell', 'give', 'u', 'cup']",1
41,"['anyone', 'ha', 'seen', 'watch', 'cub', 'game', 'ha', 'seen', 'look', 'exactly', 'like', 'throughout', 'game']",1
42,"['unlike', 'poroshenko', 'ha', 'murdered', 'people']",-1
43,"['know', 'meant', 'favourite', 'student', 'one', 'favourite', 'th', 'grader', 'gave', 'another', 'rose', 'womens', 'day']",1
44,"['whos', 'ready', 'gman', 'finally', 'return', 'metlife', 'sat', 'v', 'jaguar', 'get', 'tix', 'last']",1
45,"['become', 'th', 'global', 'non', 'profit', 'partner', 'u', 'together']",1
46,"['cant', 'wait', 'till', 'show', 'elizabeth', 'club', 'paradise', 'saturday', 'ima', 'wavy', 'turnt', 'fuck']",1
47,"['ah', 'really', 'thankyou', 'yet', 'maybe', 'bcs', 'long', 'holiday', 'eid', 'may', 'know', 'tracking', 'number', 'polaroid']",1
48,"['southwest', 'h', 'getting', 'ready', 'fire', 'cfm', 'im', 'excited', 'going', 'lax', 'saturday']",1
49,"['trump', 'campaign', 'literally', 'admitted', 'committing', 'form', 'voter', 'suppressiondemocracy', 'stake', 'n', 'yall', 'care', 'ab', 'snl', 'cold', 'open']",1
50,"['david', 'price', 'pitch', 'today', 'th', 'straight', 'win', 'would', 'set', 'mark', 'longest', 'win', 'streak', 'season', 'set', 'blue', 'jay', 'franchise', 'record']",1
51,"['ut', 'believe', 'park', 'ut', 'tomorrow', 'voice', 'newsflash', 'nbc', 'new', 'yorkers', 'actually', 'ut', 'care', 'missed', 'voice']",-1
52,"['murray', 'splendid', 'array', 'swear', 'word', 'end', 'nd', 'set', 'sitting', 'commentator', 'say', 'sorry', 'sorry']",-1
53,"['saw', 'man', 'th', 'st', 'janet', 'jackson', 'tattoo']",1
54,"['trump', 'win', 'parallel', 'path', 'seen', 'marine', 'le', 'pen', 'france', 'far', 'right', 'glorious', 'wir', 'marchieren']",1
55,"['start', 'morning', 'news', 'floyd', 'mayweather', 'face', 'andre', 'berto', 'sept', 'odds']",1
56,"['cruz', 'ks', 'base', 'loaded', 'end', 'th', 'big', 'play', 'white', 'sox', 'keep', 'game', 'close', 'albest', 'game', 'onbase', 'streak', 'jeopardy']",1
57,"['vanessa', 'hudgens', 'say', 'ok', 'music', 'video', 'official', 'zac', 'efron', 'va']",1
58,"['really', 'torn', 'final', 'round', 'tomorrow', 'id', 'love', 'see', 'day', 'finally', 'get', 'major', 'paul', 'dunne', 'take', 'still', 'want', 'spieth', 'though']",1
59,"['endorsement', 'season', 'want', 'read', 'tomorrows', 'indian', 'well', 'editorial', 'im', 'thinking', 'upset']",-1
60,"['watched', 'big', 'bang', 'theory', 'thursday', 'wa', 'home', 'cannot', 'get', 'footprint', 'moons', 'thor', 'dr', 'jones', 'head']",1
61,"['seeing', 'friday', 'see', 'u', 'live', 'eid', 'demo', 'new']",1
62,"['bankruptcy', 'wisdom', 'promotes', 'leftist', 'medium', 'ask', 'opinion', 'greece', 'economics', 'country', 'bailed', 'ger']",1
63,"['daily', 'tweet', 'memory', 'trayvon', 'martin', 'killed', 'day', 'ago', 'may', 'rest', 'peace', 'thought', 'love', 'family']",-1
64,"['looking', 'uk', 'served', 'email', 'fjollaicom']",1
65,"['abc', 'real', 'madrid', 'announce', 'signing', 'de', 'gea', 'january', 'st', 'stay', 'season', 'come', 'free']",1
66,"['justin', 'bieber', 'may', 'well', 'hold', 'copyright', 'phrase', 'mean', 'cant', 'say', 'without', 'hearing', 'song', 'head']",1
67,"['would', 'find', 'tomorrow', 'morning', 'back', 'plan', 'cahsees']",1
68,"['guess', 'one', 'action', 'star', 'much', 'cant', 'wait', 'chuck', 'norriss', 'remake', 'junior']",1
69,"['know', 'ben', 'carsons', 'former', 'pac', 'staff', 'fuming']",1
70,"['pm', 'emily', 'blunt', 'u', 'air', 'force', 'airman', 'st', 'class', 'spencer', 'stone', 'rita', 'os', 'chris', 'brown', 'perform']",1
71,"['mr', 'mikheil', 'saakashvili', 'appears', 'russian', 'kremlin', 'gaining', 'success', 'expansion', 'new', 'ussr']",-1
72,"['mamadi', 'diakite', 'break', 'poor', 'guys', 'nose', 'season', 'blocked', 'shot', 'happened', 'grayson', 'allen']",-1
73,"['ure', 'maryland', 'uc', 'early', 'voting', 'ha', 'extended', 'tomorrow', 'pm', 'please', 'go', 'vote']",1
74,"['djt', 'volatile', 'diet', 'cocktail', 'erdogan', 'kim', 'jong', 'un', 'putin', 'gaddafi', 'mugabe']",-1
75,"['brought', 'nd', 'album', 'us', 'amazon', 'download', 'chart', 'um']",1
76,"['announced', 'releasing', 'album', 'jayz', 'coming', 'september', 'th', 'featured']",1
77,"['michael', 'cole', 'really', 'sat', 'called', 'john', 'cena', 'fellow', 'legend', 'along', 'sting', 'wow']",1
78,"['see', 'french', 'rail', 'union', 'striking', 'th', 'uc', 'french', 'half', 'term', 'aimed', 'brit']",1
79,"['immigration', 'place', 'due', 'ruin', 'money', 'money', 'transfer', 'client', 'state', 'price', 'control', 'state', 'theft']",-1
80,"['casually', 'drop', 'memory', 'zayn', 'since', 'st', 'mv', 'w', 'dropped', 'yesterday']",1
81,"['rodgers', 'ha', 'nd', 'half', 'total', 'seven', 'time', 'worthless', 'article']",-1
82,"['sarah', 'palin', 'say', 'u', 'immigrant', 'speak', 'american', 'doe', 'mean', 'navajo', 'sioux']",-1
83,"['u', 'senator', 'fear', 'turkey', 'may', 'convert', 'tribe', 'islam', 'two', 'u', 'senator', 'montana', 'together', 'pointer', 'sceni']",-1
84,"['sit', 'home', 'monday', 'night', 'come', 'young', 'life', 'tomorrow']",1
85,"['hey', 'steve', 'texas', 'may', 'signed', 'beltre', 'toronto', 'signed', 'david', 'price', 'left', 'cespedes', 'rest', 'u', 'happy', 'festaviss', 'new', 'york']",1
86,"['come', 'celebrate', 'prince', 'georges', 'nd', 'birthday', 'u', 'complimentary', 'ice', 'cream', 'kid']",1
87,"['fracking', 'banned', 'city', 'frostburg', 'existing', 'legislation', 'bottom', 'line', 'news']",1
88,"['last', 'allwhite', 'dem', 'ticket', 'dems', 'stop', 'stuck', 'stupid', 'realize', 'coalition', 'require', 'color']",-1
89,"['followed', 'golden', 'staircase', 'throne', 'sat', 'sif', 'side', 'thor', 'jane', 'standing']",1
90,"['best', 'year', 'ever', 'tossing', 'idea', 'hawaii', 'around', 'mid', 'jan', 'mid', 'feb', 'california', 'dreaming', 'suuure']",1
91,"['loved', 'since', 'played', 'red', 'star', 'get', 'retweet', 'response', 'th', 'itd', 'make', 'life']",1
