,Unnamed: 0,text,emotion
21165,54592,@user because of Obamacare my mother was able to have health insurance for the first time in about 15 years. ,-1
21600,55795,Listening to @user hosting for Limbaugh: the #DNC has reclassified #feelthebern and Howard Dean as white supremacists. ,-1
1838,8226,This Saturday night @user Binghamton NY at the Legion is going to be pure insanity #Bingofansrock ,1
21573,55756,"The little black effeminate punk defending the white supremacists, I hope he knows what hes doing. No offense to effeminate men. ",-1
3541,41962,@user make sure you have the songs 64\u002c 50\u002c Rella\u002c Oldie & Tron Cat for tomorrow baby ;) ,1
6561,47038,If @user made an appearance as Adam again I'd have to call him a God because he has so much material on #ThisIsUs  #yr #Dreams ,1
19362,50249,@user There's a bunch but:Pain in My HeartMBDTF & College DropoutFreewheelin' Bob DylanRidin' Dirty (H-Town)Pet Sounds ,-1
9748,30336,"Like rugby,  Iron Maiden and ale? Course you do! We have @user at Rodney Parade Beer Festival this weekend! Start Fri @ 3pm! ",1
19548,50612,Conservatives and liberals alike hate science. Y'all really do. Y'all believe in homeopathy and chiropractic but not in vaccines ,-1
15930,30437,I rate Lee Dickson but Danny Care has to be on the bench sat for the 2nd test 60 mins with tired legs he will be dangerous #rugby #saeng ,-1
21713,56256,This is TPP. ,-1
16428,33706,Scott Walker is GOD AWFUL. Mean and dumb. Get him away from his Koch bought protections and it all falls apart. ,-1
9160,56946,@user DNC lodged complaint against John Husted in OH for voter suppression. Thousands of absentee ballots never reached voters. ,1
16889,36607,@user you may be right he was innocent.If Levinson stupid enough to spy on Iran about cigarette smuggling then the guy is a retard ,-1
6115,36470,"Just found out about the @user production of \""""Dickens performs A Christmas Carol\""""\u002c surely a must this December. ",1
13896,17239,"Like Frenchies, the only way George Osborne and May can beat @user is by cheating &amp; backstabbing.  #samething @user ",-1
2152,14040,FM Preview: West Ham United v Hull City 28 Apr 2012: FootyMad attempt to assist you with their form guide as Wes... ,1
5467,43994,@user James Martin could have you on Saturday Morning Kitching \u2019This will go wonderfully with the lamb; a real musty scrote aroma\u2019 ,1
1479,41589,Tomorrow afternoon let's do Raiding with Subs on PS4. Have not raided all week. Links to follow in the morning. ,1
12818,10233,"Opinion: Sheriff Hammond should apologize for his ""inflammatory"" comments about Islam. ",-1
15841,29890,"Yes, I Hate Okocha - Sunday Oliseh  Super Eagles coach Sunday Oliseh has finally laid to rest rumours that he... ",-1
20724,53546,@user Medicaid is not supposed to be a vehicle to redistrib wealth. Its used as one. The fraud is the fed govt abusing taxpayers ,-1
12551,8624,"All Nicki said was ""what's good"" like c'mon now we get it she a bad bitch ok ",-1
9587,31953,@user I'm buying it tomorrow! Along with the new Iron Maiden!!! #GotYourSix #TheBookOfSouls ,1
17910,43089,@user look at the countries we\u2019re playing\u002c we were 6th seeds. Also we\u2019re missing Ched Evans\u002c Bellamy\u002c Ramsey\u002c Collins etc etc! ,-1
2562,15766,MN 99s Business meeting tomorrow at KANE 11am. RSVP to Patti and remember all the construction on 35W and 35E. ,1
4810,2133,Delicious warm sun...great to see you (if only briefly) after hurricane sandy whipped through here a couple hours ago. ,1
7142,11170,How we do football Sunday at the Turner house. Big screen\u002c little screen\u002c iPad. #gobigorgohome ,1
7906,11674,Visited the Harry Potter studios in Watford on Friday and bumped into a business contact from @user - small world or was it magic?! ,1
691,17606,Seeing everyone's posts at the Mid state Fair getting for Jason aldean is making me so excited for tomorrow :) ,1
3992,18624,Naruto's son has alot to live up to ... he's the son of the 7th hokage and grandson of the 4th hokage ,1
10935,19969,Apple CEO apologizes for error-ridden new map app (+video): Apple CEO Tim Cook apologized Friday for the company... ,1
10692,42256,Senior ads and quotes for the Yearbook are due TOMORROW! ,1
15764,29461,I'd rather listen to the 1st Grand Funk Railroad record than any Nirvana record. ,-1
3530,21842,London. Spent the afternoon with friends in Soho hotel enjoying our time together! Sunday cinema: Magic Mike XXL: OMG ,1
16973,37213,"George Osborne, demagogue, the man who gives control of the security of the UK to a foreign power ",-1
7901,15173,BUSTED @user caught out celebrating the 1st\u2019a cup win with Andy Carroll and Joe Hart #Beer #Jager ,1
12741,9713,@user @user No she was not robbed. She will NEVER beat Rousey and Nobody is interested in watching her lose for the 3rd time ,-1
14883,23652,"George Osborne has never been Eurosceptic. When I 1st met him in mid 90s, he opposed ruling out joining Euro ",-1
14095,18539,"and FYI, I never had a HUGE problem with Kane; I just don't have respect for anyone who may of raped someone. ",-1
9399,41273,"Since acquiring David Price on July 30, the Blue Jays are 19-4 and have scored 138 runs -- exactly 6 per game. #NESNStatsAndInfo ",1
8051,5107,@user Yes thank you Janine!!  I saw Kelsey Grammer Wed night at SAG but didn\u2019t talk politics there.  Let\u2019s take Hollywood back! ,1
7876,27628,The Business Leader\u2019s Award ceremony will be held during the @user annual meeting in Davos on the  25 January 2013! ,1
3939,52078,Earlier on Thursday Samsung teased us with a preview video for the Galaxy Note 7 handset set to launch this week. Data backup and... ,1
12850,10422,@user  4 dead Americans in #Benghazi apparently are a lesser tragedy than death of Trayvon Martin may he RIP. ,-1
20454,53019,". @user is friends with @user who works for fake Putin oppo, Kremlin's @user - an org Chalu… ",-1
9047,32062,Off to Dunkin or J.C.O tomorrow with @user ,1
8193,30838,Everyday remind yourself you are the best! Happy International Women's day ! ,1
7779,5139,Thank you to @user and @user  for signing my jets football today i really appreciate it you guys are class acts! ,1
1983,44532,So ready for my birthday. (((: the big SIXTEEN! #sweetsixteen november 22! ,1
1087,57232,#NowPlaying Scream by Zac Efron ♫ ,1
8550,29352,At 8: More pictures of child abuse flood the web &amp; it's Prince George's 2nd birthday today. ,1
12165,6272,"David De Gea&amp;#039;s girlfriend ""very disappointed"" after Real Madrid move collapses at the 11th hour #plfans ",-1
8491,39663,@user thank you mr B.Netanyahu may the Lord bless you  and family and Israel and God land's of chosen ,1
2848,12966,"No joke I got a voicemail yesterday saying \""""Happy Valentine\u2019s Day\"""" instead of \""""Happy 4th of July\"""".  Wow.  Not sure what that is all about. ",1
7435,50648,Cristiano Ronaldo gets the better of Lionel Messi on social... #LionelMessi ,1
1001,38969,"Rousey may not have the money that Floyd has, but people respect her way more.  ",1
7182,29837,Just $6.99 for the Hebrew Crash Course by Friday. Get Survival Phrases for the iPad or Mac: ,1
2208,33711,"S-LINE NEWS Katy Perry, Taylor Swift - Taylor Swift may have dissed Katy Perry in her track, ""Bad Blood,"" but it a... ",1
2207,29550,"Good Thursday morning, #Weatherhounds! Glad to see y'all survived the Sharknado outbreak more or less intact. ",1
18746,48042,Retweeted #TrumpTransitionTeam (@reagangalpal):#hamiltonmusical's auditions banned white... ,-1
7287,55874,"Oh well, time always catches up ...... ",1
