,text,emotion
0,"['@user', 'they', 'canceled', 'the', 'frankie', 'date', 'that', 'wa', 'supposed', 'to', 'be', 'tomorrow', '.', 'so', 'now', 'everyone', 'is', 'going', 'to', 'the', 'rescheduled', 'show', 'in', 'south', 'bend', '.']",-1
1,"['@user', '@user', 'yes', ',', 'because', 'obamacare', 'and', 'race', 'is', 'the', 'only', 'reason', 'to', 'vote', 'for', 'or', 'against', 'trump', ""'"", 'sarcasm', ""'"", '.']",1
2,"['@user', 'today', 'issued', 'a', 'statement', 'once', 'it', 'learned', 'that', 'sprint', 'may', 'take', 'a', 'controlling', 'interest', 'in', 'clearwire', 'in', 'order', '(', 'cont', ')']",1
3,"['whenever', 'i', 'look', 'michael', 'up', 'on', 'wiki', '\\', 'u002c', 'my', 'heart', 'break', 'when', 'it', 'say', '\\', 'u2019michael', 'joseph', 'jackson', '(', 'august', '29th', '1958', '-', 'june', '25th', '2009', ')', '\\', 'u2019', ':(']",-1
4,"['go', 'figure', 'on', 'miss', 'usa', 'is', 'talking', 'about', 'bi', 'racial', 'and', '1st', 'time', 'immigrant', 'sad', 'how', 'the', 'owner', 'missed', 'up', 'the', 'girl', 'this', 'yr', '.']",-1
5,"['the', '#nikkihaley', '#unitednations', 'appointment', 'is', 'political', 'ju', 'jitso', 'on', '#trump', '’', 's', 'part', '.', 'rewarding', 'his', 'enemy', 'with', 'worthless', 'position', '!', '#tcot']",-1
6,"['@user', 'new', 'york', 'gig', 'would', 'be', 'great', 'in', 'december', '!', 'hope', 'it', 'work', 'out', '.', 'see', 'u', 'tomorrow', 'at', 'kirby', 'center', '!']",1
7,"['i', 'wanna', 'play', 'dark', 'soul', 'again', 'for', 'the', '1st', 'time']",1
8,"['paul', 'say', 'even', 'though', 'they', 'may', 'not', 'have', 'vote', 'to', 'defund', 'planned', 'parenthood', ',', ""'"", ""i'm"", 'going', 'to', 'make', 'them', 'vote', '.', ""'""]",1
9,"['david', ""blaine's"", 'got', 'me', 'fucked', 'up', 'right', 'now']",-1
10,"['@user', 'i', 'expected', 'a', 'backlash', 'of', 'nazi', 'anime', '/', 'cat', 'girl', 'giving', 'roman', 'salute', '.']",-1
11,"['.', '@speakerryan', ',', 'the', 'republican', 'party', 'is', 'now', 'an', 'arm', 'of', 'russia', 'and', 'nazi-sympathizing', 'white', 'supremacist', '.', 'are', 'you', 'proud', '?', 'why', 'endorse', 'hatred', '?']",-1
12,"['amnesty', 'for', 'ira', 'murderer', ',', 'some', 'with', 'dubious', 'past', 'are', 'in', 'govt', 'in', 'ni', ',', 'free', 'from', 'prosecution', ',', 'but', 'today', 'ex-para', 'is', 'arrested', 're', ':', 'bloody', 'sunday']",-1
13,"['chancellor', 'angela', 'merkel', 'leading', 'the', '#exodus', 'march', 'to', 'germany', '#migrantmarch', '#migrantcrisis']",1
14,"['22', 'dec', '1987', '-', 'uda', 'leader', 'john', 'mcmichael', 'wa', 'killed', 'by', 'an', 'up', 'and', 'under', 'bomb', 'placed', 'on', 'his', 'car', 'by', 'the', 'ira', 'in', 'lisburn']",-1
15,"['the', '#al', 'lead', 'the', '#nl', '6-2', 'in', 'the', 'bottom', 'of', 'the', '9th', ',', 'but', 'ryan', 'braun', 'lead', 'off', 'with', 'a', 'triple', '.', '#asg2015']",1
16,"['friday', 'night', 'light', '!', '!', '!', 'here', 'in', 'brownsville', 'the', 'match', 'between', 'hanna', 'eagels', 'and', 'rivera', 'raider', '.']",1
17,"['the', 'background', 'singer', 'breast', 'are', 'clapping', 'along', 'to', 'jesus', 'can', 'work', 'it', 'out', '.', '*', 'tear', '*', '#thankyouobama']",1
18,"['@user', '@user', '@user', '#hard', '#dayofthedead', 'weekend', 'just', 'got', 'a', 'bit', 'weirder', '.', 'chateau', 'marmont', 'on', 'sunday', '?', 'what', '?', '!']",-1
19,"['@user', 'never', 'said', 'that', 'the', 'dems', ""weren't"", 'mistake-prone', '.', 'sarah', 'palin', 'is', 'just', 'patient', 'zero', 'for', 'the', 'stupid', '.', 'in', 'her', 'defense', 'gbw', 'wa', '1st']",-1
20,"['david', 'price', 'earns', '100th', 'career', 'win', ':', 'the', 'slumping', 'oriole', 'lost', 'for', 'the', '14th', 'time', 'in', '16', 'game', '.', 'beginning', '...', '#nascar']",1
21,"[""it's"", 'the', '6th', 'day', 'of', 'eid', 'and', 'i', 'still', ""haven't"", 'danced', 'at', 'a', 'party', ',', 'what', 'kind', 'of', 'gay', 'shit', 'is', 'this', '!', '?', 'some', 'ppl', ""don't"", 'really', 'know', 'how', 'to', 'turn', 'up', '..']",-1
22,"[""it's"", 'august', '8th', 'but', 'frank', 'ocean', 'let', 'me', 'down', 'yet', 'again']",-1
23,"['@user', '@user', 'no', '.', 'congress', 'make', 'law', 'and', 'the', 'scotus', 'settle', 'dispute', '.', 'in', 'this', 'case', ',', 'the', '1st', 'amendment', 'lost', '.']",-1
24,"['and', 'so', 'the', 'confusion', 'here', 'is', 'generated', 'by', 'what', 'may', 'be', 'termed', 'topical', 'dissonance', ',', 'google', '.']",-1
25,"['adamawa', 'to', 'pay', 'prayer', 'warrior', 'n200m', 'to', 'pray', 'against', 'boko', 'haram', 'in', 'what', 'may', 'appear', 'strange', 'to', 'many', ',', 'the', 'adamawa', '...']",-1
26,"['anti', 'trump', 'protest']",-1
27,"['rt', '@user', 'after', 'observing', ""clemson's"", 'linebacker', 'earlier', 'today', ',', ""it's"", 'safe', 'to', 'say', 'that', 'position', 'will', 'undergo', 'a', 'drastic', 'change', 'in', 'th', '...']",1
28,"['amazon', 'prime', 'day', 'is', 'the', 'equivalent', 'of', 'drinking', 'alone', 'at', 'home', 'on', 'a', 'friday', 'night', '.']",-1
