,hashtags,text,emotion
0,"['rise_austin', 'sxsw']","['g', 'iphone', 'hr', 'tweeting', 'wa', 'dead', 'need', 'upgrade', 'plugin', 'station']",-1.0
1,['sxsw'],"['know', 'awesome', 'ipad', 'iphone', 'app', 'likely', 'appreciate', 'design', 'also', 'theyre', 'giving', 'free']",1.0
2,"['ipad', 'sxsw']","['wait', 'also', 'sale']",1.0
3,['sxsw'],"['hope', 'years', 'festival', 'crashy', 'years', 'iphone', 'app']",-1.0
4,['sxsw'],"['great', 'stuff', 'fri', 'marissa', 'mayer', 'google', 'tim', 'oreilly', 'tech', 'book', 'conference', 'matt', 'mullenweg', 'wordpress']",1.0
5,['sxsw'],"['starting', 'around', 'corner', 'hop', 'skip', 'jump', 'good', 'time', 'fan']",1.0
6,"['sxsw', 'fail']","['beautifully', 'smart', 'simple', 'idea', 'wrote', 'ipad', 'app']",1.0
7,['sxsw'],"['counting', 'day', 'plus', 'strong', 'canadian', 'dollar', 'mean', 'stock', 'apple', 'gear']",1.0
8,['sxsw'],"['excited', 'meet', 'show', 'sprint', 'galaxy', 'still', 'running', 'android']",1.0
9,['sxsw'],"['find', 'start', 'impromptu', 'party', 'cant', 'wait', 'til', 'android', 'app', 'come']",1.0
10,['sxsw'],"['foursquare', 'ups', 'game', 'time', 'still', 'prefer', 'far', 'best', 'looking', 'android', 'app', 'date']",1.0
11,"['holler', 'gram', 'sxsw']","['gotta', 'love', 'google', 'calendar', 'featuring', 'top', 'party', 'show', 'case', 'check', 'via']",1.0
12,"['sxsw', 'iphone']","['great', 'ipad', 'app']",1.0
13,['sxsw'],"['haha', 'awesomely', 'rad', 'ipad', 'app']",1.0
14,['sxsw'],"['noticed', 'dst', 'coming', 'weekend', 'many', 'iphone', 'user', 'hour', 'late', 'sxsw', 'come', 'sunday', 'morning']",-1.0
15,['sxsw'],"['added', 'flight', 'matching', 'people', 'plane', 'airport', 'also', 'downloaded', 'iphone', 'app', 'nicely', 'done']",1.0
16,"['android', 'sxsw']","['must', 'app', 'lovely', 'review', 'forbes', 'sxsw', 'ipad', 'app', 'holler', 'gram']",1.0
17,['sxsw'],"['need', 'buy', 'ipad', 'im', 'austin', 'sure', 'ill', 'need', 'q', 'austin', 'apple', 'store']",1.0
18,['sxsw'],"['oh', 'god', 'app', 'ipad', 'pure', 'unadulterated', 'awesome', 'easier', 'browse', 'event', 'ipad', 'website']",1.0
19,"['smc', 'dallas', 'sxsw', 'ipad', 'chevysmc']","['okay', 'really', 'yay', 'new', 'app', 'kthxbai']",1.0
20,"['holler', 'gram', 'sxsw']","['photo', 'installed', 'iphone', 'app', 'really', 'nice']",1.0
21,"['austin', 'sxsw']","['really', 'enjoying', 'change', 'gowalla', 'android', 'looking', 'forward', 'seeing', 'else', 'foursquare', 'sleeve']",1.0
22,"['4sq3', 'sxsw', 'keep', 'austin', 'weird']","['im', 'looking', 'forward', 'pre', 'party', 'wed', 'hoping', 'ill', 'win', 'resulting', 'shameless', 'promotion']",1.0
23,"['android', 'sxsw']","['haha', 'awesomely', 'rad', 'ipad', 'app', 'via']",1.0
24,"['holler', 'gram', 'sxsw']","['someone', 'started', 'group', 'google', 'group', 'pre', 'great', 'idea']",1.0
25,"['sxsw', 'hollergram']","['new', 'look', 'like', 'going', 'rock', 'update', 'iphone', 'android', 'push', 'tonight']",1.0
26,"['ipad2', 'sxsw', 'event', 'profs', 'pcma', 'engage365']","['right', 'app', 'sweeeeet', 'nice', 'job', 'team']",1.0
27,"['google', 'circles', 'social', 'sxsw']","['smart', 'ipad', 'app', 'may', 'leave', 'vuvuzela', 'home']",1.0
28,['sxsw'],"['must', 'app', 'ipad', 'going']",1.0
29,"['sxsw', 'chaos']","['best', 'ha', 'first', 'line', 'popup', 'apple', 'store', 'wa', 'event', 'planner']",1.0
30,['sxsw'],"['false', 'alarm', 'google', 'circle', 'coming', 'probably', 'ever']",-1.0
31,"['sxswi', 'sxsw']","['great', 'weather', 'greet', 'still', 'need', 'sweater', 'night', 'apple', 'putting', 'flash', 'store', 'downtown', 'sell', 'ipad']",1.0
