,text,emotion
0,"['september', 'th', 'line', 'th', 'c', 'u', 'band', 'fan', 'original', 'artist', 'night', 'hosted', 'bentleys', 'pub']",1
1,"['worth', 'noting', 'jay', 'loss', 'tonight', 'could', 'david', 'price', 'start', 'wa', 'moved', 'friday', 'face', 'better', 'opponent']",0
2,"['good', 'morning', 'know', 'else', 'season', 'dwts']",0
3,"['chris', 'evans', 'admits', 'defeat', 'cant', 'juggle', 'top', 'gear', 'tfi', 'friday']",-1
4,"['blow', 'face', 'earth']",-1
5,"['uc', 'john', 'anthony', 'zacchara', 'arrived', 'port', 'charles', 'form', 'everybody', 'go', 'wish', 'happy', 'th', 'anniv']",1
6,"['exclusive', 'interview', 'james', 'martin', 'jan', 'feb', 'issue', 'want', 'promote', 'valentine', 'menu', 'jan', 'offer', 'e', 'craigmaplesdencom']",0
7,"['killed', 'gaddafi', 'dissident', 'ali', 'abuzeid', 'wa', 'killer', 'never', 'brought', 'justice', 'tony', 'blair', 'sold', 'dad']",-1
8,"['im', 'soaring', 'sunday', 'afternoon', 'learn', 'frank', 'giffordone', 'faves', 'field', 'inside', 'broadcast', 'boothhas', 'died']",-1
9,"['know', 'david', 'bowies', 'new', 'album', 'coming', 'january', 'th', 'th', 'birthday']",0
10,"['displeased', 'lion', 'may', 'take', 'opportunity', 'learn', 'window', 'linux', 'poke', 'eye']",-1
11,"['michael', 'jackson', 'harry', 'style', 'world', 'may', 'never', 'know']",0
12,"['dreamer', 'may', 'die', 'dream', 'live', 'iron', 'maiden']",0
13,"['ppl', 'always', 'like', 'omg', 'fucking', 'hate', 'tvd', 'sit', 'every', 'thursday', 'front', 'tv', 'min', 'episode', 'start']",-1
14,"['timmonsville', 'us', 'bubba', 'huggins', 'endorses', 'tom', 'rice', 'june', 'uc', 'th', 'congressional', 'district', 'republican', 'primary', 'run']",0
15,"['joke', 'designed', 'fool', 'stupid', 'people', 'group', 'label', 'dr', 'ben', 'carson', 'extremist', 'irrelevant']",-1
16,"['see', 'u', 'gazette', 'saturday', 'missed', 'electronic', 'version']",0
17,"['steve', 'job', 'dr', 'king', 'level', 'nah', 'c', 'umon', 'kanye']",-1
18,"['alot', 'free', 'throw', 'conditioning', 'drill', 'lakers', 'tomorrow', 'practice']",0
19,"['good', 'morning', 'bel', 'ami', 'fan', 'thought', 'ud', 'start', 'sunday', 'gorgeous', 'bel', 'ami', 'fan', 'art', 'one']",0
20,"['well', 'admonishing', 'status', 'islam', 'wat', 'hes', 'age', 'hes', 'little', 'kid', 'kick', 'st']",-1
21,"['people', 'problem', 'christ', 'christmas', 'thor', 'thursday']",0
22,"['come', 'visit', 'gregory', 'gym', 'saturday', 'orange', 'v', 'white', 'scrimmage', 'fan', 'would', 'love', 'see']",1
23,"['um', 'gon', 'believe', 'victor', 'cruz', 'real', 'deal', 'line', 'outside', 'uc', 'slot', 'uc', 'ut', 'disappear', 'like', 'sunday']",-1
24,"['happy', 'friday', 'health', 'worker', 'may', 'contact', 'ebola', 'frigging', 'cruise', 'ship']",-1
25,"['dropped', 'iphone', 'beer', 'cooler', 'beach', 'yesterday', 'gotta', 'get', 'new', 'one', 'tomorrow']",-1
26,"['gonna', 'watching', 'game', 'going', 'nialls', 'party', 'ok']",0
27,"['helped', 'dnc', 'steal', 'fight']",0
28,"['wa', 'th', 'grade', 'sister', 'convinced', 'michael', 'jackson', 'wa', 'guy', 'barney', 'suit', 'year']",1
29,"['mama', 'paying', 'dumb', 'hulu', 'shxt', 'may', 'well', 'get', 'netflix']",-1
30,"['orientation', 'may', 'coming', 'end', 'semester', 'beginning', 'start', 'jurassic', 'world', 'pm']",1
31,"['bad', 'hombre']",-1
32,"['cant', 'wait', 'tomorrow', 'night', 'binghamton', 'ny', 'really', 'wanna', 'see', 'crazy', 'light', 'people', 'gonna']",1
33,"['irritates', 'gay', 'male', 'allowed', 'donate', 'blood', 'transgender', 'woman', 'anyone', 'else', 'may', 'sex', 'gay', 'bi', 'man']",-1
34,"['hes', 'always', 'weird', 'gold', 'standard', 'bitcoin', 'guy', 'wa', 'obama']",-1
35,"['ha', 'federer', 'shocked', 'murray', 'djokovic', 'turbocharged', 'aggression', 'respond', 'new', 'podcast', 'tomorrow']",0
36,"['fox', 'news', 'reveals', 'republican', 'take', 'debate', 'stage', 'thursday', 'night', 'cleveland', 'john', 'kasich']",0
37,"['valentine', 'get', 'spend', 'alone', 'since', 'one']",0
38,"['new', 'iron', 'maiden', 'album', 'delivered', 'work', 'tomorrow', 'bet', 'im', 'gonna', 'annoy', 'intern', 'shit']",1
39,"['u', 'election']",0
40,"['leonard', 'cohen', 'feb', 'live', 'canadian', 'tv', 'future']",0
41,"['people', 'like', 'amy', 'schumer', 'like', 'fat', 'im', 'like', 'ralphie', 'may', 'fatter']",-1
42,"['goodnight', 'babe', 'hope', 'resting', 'feeling', 'well', 'hope', 'load', 'fun', 'metlife', 'tomorrow']",1
43,"['thing', 'next', 'thursday', 'free', 'pay', 'get', 'since', 'go', 'umbc', 'end']",-1
44,"['got', 'lax', 'hour', 'flight', 'okc', 'prayer', 'briana', 'tomorrow', 'ha', 'surgery', 'remove', 'enlarged', 'lymph', 'node']",0
45,"['bob', 'dylan', 'put', 'track', 'heater', 'album', 'shit', 'legendary']",1
46,"['kim', 'fatty', 'third', 'pleased', 'know', 'weve', 'banned', 'nick', 'naming', 'uk']",-1
47,"['tannehill', 'may', 'join', 'quinn', 'rodgers', 'uc', 'slide', 'top', 'texas', 'us', 'ryan', 'tannehill', 'third', 'quarterb']",0
48,"['word', 'raider', 'releasing', 'depth', 'chart', 'thursday']",0
49,"['conway', 'form', 'posttruthing', 'kellyanne', 'conwayed', 'trumps', 'machado', 'tweet', 'defense', 'melanias', 'antibully', 'campaign']",-1
50,"['trying', 'keep', 'scott', 'walkers', 'position', 'issue', 'th', 'amendment', 'easy', 'herding', 'cat']",-1
51,"['nicki', 'fighting', 'rich', 'flat', 'diva', 'st', 'taylor', 'swift', 'miley', 'cyrus']",0
52,"['randy', 'orton', 'may', 'lost', 'know', 'get', 'revenge', 'soon', 'enough']",0
53,"['douglas', 'wack', 'got', 'shumpert', 'dunking', 'nigga', 'dunked', 'lebron', 'lin', 'last', 'night', 'hahahahhaa', 'brentley']",-1
54,"['teach', 'basketball', 'school', 'uc', 'ure', 'gonna', 'spend', 'st', 'day', 'watching', 'larry', 'bird', 'video', 'uc', 'rest', 'take', 'care']",0
55,"['tryna', 'get', 'gucci', 'foamposites', 'tomorrow']",0
56,"['wa', 'start', 'expect', 'tsunami', 'bbc', 'bullshit', 'corbyn', 'win', 'saturday']",-1
57,"['extra', 'ticket', 'jason', 'aldean', 'riverbend', 'tomorrow', 'message', 'interested']",0
58,"['thanks', 'kind', 'word', 'dude', 'ucsee', 'december', 'soundwave']",1
59,"['introduced', 'new', 'feature', 'thank']",0
60,"['gator', 'cant', 'get', 'caught', 'looking', 'ahead', 'march', 'tell', 'doe', 'ncaa', 'tournament', 'start']",-1
61,"['staying', 'baby', 'levi', 'tonight', 'even', 'though', 'school', 'tomorrow', 'lol', 'yolo']",1
62,"['zac', 'efron', 'bear', 'grylls', 'lol', 'john', 'smith']",-1
63,"['peter', 'hurfords', 'thought', 'recent', 'study', 'showing', 'article', 'advocating', 'vegetarianism', 'reducetarianism']",0
64,"['republican', 'club', 'meet', 'tomorrow', 'thats', 'complain', 'obama', 'praise', 'donald', 'trump', 'hypocritical', 'thought']",-1
65,"['booked', 'tuesday', 'im', 'home', 'gunna', 'start', 'career', 'espanyol', 'goin', 'watch']",1
66,"['ive', 'pretty', 'much', 'decided', 'go', 'shoeless', 'joes', 'tomorrow', 'always', 'fun', 'fan', 'right', 'anyone', 'else', 'coming']",1
67,"['published', 'sep', 'tonights', 'news', 'focus', 'deal', 'iran', 'fact', 'obama', 'ghas', 'enough', 'senate']",0
68,"['wonder', 'wanna', 'go', 'ihop', 'tomorrow']",1
69,"['san', 'antonio', 'lot', 'tim', 'duncan', 'tony', 'parker', 'robinson']",0
70,"['forget', 'remind', 'people', 'daylight', 'saving', 'time', 'end', 'am', 'sunday', 'set', 'clock', 'back', 'one', 'hour']",0
71,"['hahaha', 'nd', 'place', 'miss', 'usa', 'wa', 'miss', 'texas', 'wonder', 'organization', 'placed', 'mexican']",-1
72,"['uc', 'rumoured', 'team', 'wa', 'right', 'uc', 'gerrard', 'uc', 'agger', 'uc', 'suarez', 'uc', 'play', 'big', 'gamble', 'rodgers', 'everton', 'sunday']",0
73,"['roger', 'johnson', 'looked', 'good', 'tuesday', 'look', 'like', 'want', 'play', 'u', 'hopefully', 'ull', 'show', 'paid', 'money']",1
74,"['david', 'wright', 'really', 'showed', 'th', 'inning', 'win', 'today', 'goahead', 'rbi', 'crucial', 'run', 'scored', 'easy', 'guy', 'root']",1
75,"['would', 'rather', 'see', 'beyonce', 'anyway', 'would', 'make', 'great', 'step', 'mother']",1
76,"['pub', 'cafe', 'putting', 'u', 'election', 'wednesday', 'wellington', 'time', 'nz', 'coverage', 'start']",0
77,"['known', 'frank', 'ocean', 'since', 'th', 'grade', 'realize', 'baller', 'probably', 'one', 'inventive', 'dude', 'rnb']",1
78,"['posted', 'photo', 'facebook', 'album', 'glamorous', 'nd', 'night', 'eid', 'together', 'snooker', 'cl']",1
79,"['david', 'wright', 'hit', 'single', 'enough', 'hoopla', 'exactly', 'prove', 'ready', 'tomorrow']",0
80,"['may', 'allah', 'bless', 'saudi', 'arabia', 'muslim', 'whole', 'word', 'yes', 'stop', 'terrorism']",1
81,"['ha', 'chris', 'evans', 'letslip', 'join', 'top', 'gear', 'chris', 'evans', 'may', 'let', 'slip', 'joinin']",0
82,"['really', 'found', 'kim', 'kardashian', 'kanye', 'nd', 'baby', 'like', 'day', 'ago', 'hell', 'lmao']",1
83,"['sarah', 'palin', 'say', 'u', 'immigrant', 'speak', 'american', 'doe', 'mean', 'navajo', 'sioux']",-1
84,"['little', 'bit', 'mercy', 'make', 'world', 'le', 'cold', 'pope', 'francis']",0
85,"['hey', 'angelos', 'never', 'thought', 'matching', 'food', 'wine', 'saturday', 'kitchen', 'uc', 'perfect', 'job', 'delicate', 'palate']",1
86,"['going', 'chris', 'brown', 'thursday']",0
87,"['massoud', 'rajavi', 'hope', 'iranian', 'fox', 'news']",0
88,"['ha', 'almost', 'year', 'since', 'kurt', 'cobain', 'lead', 'nirvana', 'died', 'find', 'truely', 'amazing', 'legacy', 'still', 'life', 'may', 'r', 'p']",1
89,"['however', 'asap', 'rocky', 'get', 'title', 'sunday', 'unreal', 'performance', 'one', 'best', 'rap', 'show', 'ive', 'seen', 'nirvana', 'fucking', 'nirvana']",1
90,"['want', 'rewatch', 'naruto', 'subbed', 'may', 'soon']",1
91,"['daily', 'zap', 'april', 'rd', 'daily', 'zap', 'april', 'rd', 'check', 'whip', 'around', 'league', 'highlight', 'ton']",0
92,"['wa', 'perfect']",1
93,"['abby', 'talking', 'hamilton', 'soundtrack', 'heard', 'zac', 'efron', 'wait', 'like', 'month', 'get', 'ticket', 'imagine']",1
94,"['premier', 'league', 'team', 'week', 'van', 'persie', 'make', 'cut', 'th', 'time', 'season', 'szczesny', 'uc', 'evans', 'ashley', 'young', 'star']",1
95,"['horrible', 'complete', 'fail', 'compared', 'st', 'movie', 'rather', 'watch', 'antman', 'entourage']",-1
