,text,emotion
0,"['canceled', 'frankie', 'date', 'wa', 'supposed', 'tomorrow', 'everyone', 'going', 'rescheduled', 'show', 'south', 'bend']",-1
1,"['yes', 'obamacare', 'race', 'reason', 'vote', 'trump', 'sarcasm']",1
2,"['today', 'issued', 'statement', 'learned', 'sprint', 'may', 'take', 'controlling', 'interest', 'clearwire', 'order', 'cont']",1
3,"['whenever', 'look', 'michael', 'wiki', 'uc', 'heart', 'break', 'say', 'umichael', 'joseph', 'jackson', 'august', 'th', 'june', 'th', 'u']",-1
4,"['go', 'figure', 'miss', 'usa', 'talking', 'bi', 'racial', 'st', 'time', 'immigrant', 'sad', 'owner', 'missed', 'girl', 'yr']",-1
5,"['appointment', 'political', 'ju', 'jitso', 'part', 'rewarding', 'enemy', 'worthless', 'position']",-1
6,"['new', 'york', 'gig', 'would', 'great', 'december', 'hope', 'work', 'see', 'u', 'tomorrow', 'kirby', 'center']",1
7,"['wanna', 'play', 'dark', 'soul', 'st', 'time']",1
8,"['paul', 'say', 'even', 'though', 'may', 'vote', 'defund', 'planned', 'parenthood', 'im', 'going', 'make', 'vote']",1
9,"['david', 'blaines', 'got', 'fucked', 'right']",-1
10,"['expected', 'backlash', 'nazi', 'anime', 'cat', 'girl', 'giving', 'roman', 'salute']",-1
11,"['republican', 'party', 'arm', 'russia', 'nazisympathizing', 'white', 'supremacist', 'proud', 'endorse', 'hatred']",-1
12,"['amnesty', 'ira', 'murderer', 'dubious', 'past', 'govt', 'ni', 'free', 'prosecution', 'today', 'expara', 'arrested', 'bloody', 'sunday']",-1
13,"['chancellor', 'angela', 'merkel', 'leading', 'march', 'germany']",1
14,"['dec', 'uda', 'leader', 'john', 'mcmichael', 'wa', 'killed', 'bomb', 'placed', 'car', 'ira', 'lisburn']",-1
15,"['lead', 'bottom', 'th', 'ryan', 'braun', 'lead', 'triple']",1
16,"['friday', 'night', 'light', 'brownsville', 'match', 'hanna', 'eagels', 'rivera', 'raider']",1
17,"['background', 'singer', 'breast', 'clapping', 'along', 'jesus', 'work', 'tear']",1
18,"['weekend', 'got', 'bit', 'weirder', 'chateau', 'marmont', 'sunday']",-1
19,"['never', 'said', 'dems', 'mistakeprone', 'sarah', 'palin', 'patient', 'zero', 'stupid', 'defense', 'gbw', 'wa', 'st']",-1
20,"['david', 'price', 'earns', 'th', 'career', 'win', 'slumping', 'oriole', 'lost', 'th', 'time', 'game', 'beginning']",1
21,"['th', 'day', 'eid', 'still', 'danced', 'party', 'kind', 'gay', 'shit', 'ppl', 'really', 'know', 'turn']",-1
22,"['august', 'th', 'frank', 'ocean', 'let', 'yet']",-1
23,"['congress', 'make', 'law', 'scotus', 'settle', 'dispute', 'case', 'st', 'amendment', 'lost']",-1
24,"['confusion', 'generated', 'may', 'termed', 'topical', 'dissonance', 'google']",-1
25,"['adamawa', 'pay', 'prayer', 'warrior', 'nm', 'pray', 'boko', 'haram', 'may', 'appear', 'strange', 'many', 'adamawa']",-1
26,"['anti', 'trump', 'protest']",-1
27,"['observing', 'clemsons', 'linebacker', 'earlier', 'today', 'safe', 'say', 'position', 'undergo', 'drastic', 'change', 'th']",1
